format	2
image	atlas_2.webp
cell_size	16	20
world_cell_aspect	1.25
default_zoom	2
placeholder	1	1	16	20
worldmap_tile_color	world_deep_scar	48	31	36	255
worldmap_tile_color	world_forest	34	82	44	255
worldmap_tile_color	world_high_mountain	135	138	130	255
worldmap_tile_color	world_hills	112	92	57	255
worldmap_tile_color	world_mountain	86	84	82	255
worldmap_tile_color	world_plains	87	105	58	255
worldmap_tile_color	world_road	135	103	58	255
worldmap_tile_color	world_scar	85	43	45	255
worldmap_tile_color	world_shore	143	124	78	255
worldmap_tile_color	world_swamp	45	75	67	255
worldmap_tile_color	world_water	35	67	92	255
tile_random	zone_tiles/zone_tile_blackglass_field.png
tile_random	zone_tiles/zone_tile_blackglass_floor.png
tile_random	zone_tiles/zone_tile_blackglass_wall.png
tile_random	zone_tiles/zone_tile_deep_water.png
tile_random	zone_tiles/zone_tile_dirt_dry.png
tile_random	zone_tiles/zone_tile_dirt_wet.png
tile_random	zone_tiles/zone_tile_fence.png
tile_random	zone_tiles/zone_tile_fence_dark.png
tile_random	zone_tiles/zone_tile_grass_dark.png
tile_random	zone_tiles/zone_tile_grass_light.png
tile_random	zone_tiles/zone_tile_marble_floor.png
tile_random	zone_tiles/zone_tile_marble_wall.png
tile_random	zone_tiles/zone_tile_road_cobblestone.png
tile_random	zone_tiles/zone_tile_road_dirt.png
tile_random	zone_tiles/zone_tile_rock_wall.png
tile_random	zone_tiles/zone_tile_sand.png
tile_random	zone_tiles/zone_tile_shallow_water.png
tile_random	zone_tiles/zone_tile_still_water.png
tile_random	zone_tiles/zone_tile_stone_fence.png
tile_random	zone_tiles/zone_tile_stonebrick_wall.png
tile_random	zone_tiles/zone_tile_wood_floor.png
tile_random	zone_tiles/zone_tile_wood_wall.png
tile_fringe9	zone_wall_shadow
tile_fringe9	zone_deep_water
tile_fringe9	zone_shallow_water
tile_fringe9	zone_still_water
tile_fringe9	zone_sand
tile_fringe9	zone_road_dirt
tile_fringe9	zone_road_cobblestone
tile_fringe9	zone_grass_dark
tile_fringe9	zone_grass_light
tile_fringe9	zone_dirt_dry
tile_fringe9	zone_dirt_wet
tile_edge_trim	zone_stonebrick_wall	zone_stonebrick_floor	zone_wall_shadow	s
tile_edge_trim	zone_stonebrick_wall	zone_rock_floor	zone_wall_shadow	s
tile_edge_trim	zone_stonebrick_wall	zone_wood_floor	zone_wall_shadow	s
